Customer_ID,Street,City,State_Code,Postal_Code,Country,Seasonality_Segment,EA_Segment,Revenue_Bucket,Profit_Bucket,Market_Share_Segment,Casino_Size_Segment,Market_Potential_Segment,Churn_Segment,Competitiveness_Flag,Volume_Segment,Density_Segment,Propensity
Accoount 1,2295 BATTLEFORD RD,MISSISSAUGA,ON,L5N 2W8,CAN,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 2,64 WESTBANK EXPY STE A,GRETNA,LA,70053,USA,,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 3,209-229 E Airline Hwy.,LaPlace,LA,70068,USA,None,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 4,500 S MEADOWS PKWY,RENO,NV,89521,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 5,746 Victorian Avenue,Sparks,NV,89431,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 6,335 W CRAIG RD,NORTH LAS VEGAS,NV,89032,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 7,4640 S CARSON ST,CARSON CITY,NV,89701,USA,None,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 8,2310 N MAIN ST,SAINT MARTINVILLE,LA,70582,USA,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 9,3645 S DURANGO DR,LAS VEGAS,NV,89147,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 10,2100 WEST GARSON ROAD,VERDI,NV,89439,USA,Highly Seasonal,,L,H,L,L,M,Minimal Change,Yes,High,High,M
Accoount 11,2171 E WILLIAM ST,CARSON CITY,NV,89701,USA,,None,L,H,M,L,M,Minimal Change,-,Medium,Medium,M
Accoount 12,1477 CASINO STRIP RESORTS,ROBINSONVILLE,MS,38664,USA,Potentially Seasonal,Early Adopter,L,H,M,M,H,Minimal Change,Yes,High,Low,M
Accoount 13,2100 S. CASINO DR.,LAUGHLIN,NV,89029,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 14,3850 LAS VEGAS BLVD. SOUTH,LAS VEGAS,NV,89109,USA,Potentially Seasonal,Early Adopter,M,H,L,M,H,Minimal Change,Yes,High,High,H
Accoount 15,1980 BEACH BLVD.,BILOXI,MS,39531,USA,Potentially Seasonal,Early Adopter,H,H,None,None,None,Minimal Change,Yes,High,Low,M
Accoount 16,2500 E. 2ND STREET,RENO,NV,89595,USA,Non Seasonal,,M,H,M,M,H,Minimal Change,Yes,High,High,H
Accoount 17,340 COMMERCIAL STREET,ELKO,NV,89801,USA,,None,L,H,H,L,L,Minimal Change,-,High,High,M
